No,ip,AZ,Name,Access,ACL,Fullname,Type,NetworkBits,Creator,Flag,VPC,Purpose,1-Oct,2-Oct,3-Oct,4-Oct
1,10.2.0.0,a,alpha,Public,,Nimbus-Production-Public-alpha-a,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,0,0
2,10.2.4.0,b,alpha,Public,,Nimbus-Production-Public-alpha-b,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,4,0
3,10.2.8.0,c,alpha,Public,,Nimbus-Production-Public-alpha-c,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,8,0
4,10.2.12.0,a,beta,Private,,Nimbus-Production-Private-beta-a,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,12,0
5,10.2.16.0,b,beta,Private,,Nimbus-Production-Private-beta-b,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,16,0
6,10.2.20.0,c,beta,Private,,Nimbus-Production-Private-beta-c,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,20,0
7,10.2.24.0,a,warsaw,Secured,,Nimbus-Production-Secured-warsaw-a,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,24,0
8,10.2.28.0,b,warsaw,Secured,,Nimbus-Production-Secured-warsaw-b,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,28,0
9,10.2.32.0,c,warsaw,Secured,,Nimbus-Production-Secured-warsaw-c,Production,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,32,0
10,10.2.36.0,a,alpha,Public,,Nimbus-Development-Public-alpha-a,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,36,0
11,10.2.40.0,b,alpha,Public,,Nimbus-Development-Public-alpha-b,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,40,0
12,10.2.44.0,c,alpha,Public,,Nimbus-Development-Public-alpha-c,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,44,0
13,10.2.48.0,a,beta,Private,,Nimbus-Development-Private-beta-a,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,48,0
14,10.2.52.0,b,beta,Private,,Nimbus-Development-Private-beta-b,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,52,0
15,10.2.56.0,c,beta,Private,,Nimbus-Development-Private-beta-c,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,56,0
16,10.2.60.0,a,warsaw,Secured,,Nimbus-Development-Secured-warsaw-a,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,60,0
17,10.2.64.0,b,warsaw,Secured,,Nimbus-Development-Secured-warsaw-b,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,64,0
18,10.2.68.0,c,warsaw,Secured,,Nimbus-Development-Secured-warsaw-c,Development,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,68,0
19,10.2.72.0,a,alpha,Public,,Nimbus-Test-Public-alpha-a,Test,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,72,0
20,10.2.76.0,b,alpha,Public,,Nimbus-Test-Public-alpha-b,Test,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,76,0
21,10.2.80.0,c,alpha,Public,,Nimbus-Test-Public-alpha-c,Test,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,80,0
22,10.2.84.0,a,beta,Private,,Nimbus-Test-Private-beta-a,Test,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,84,0
23,10.2.88.0,b,beta,Private,,Nimbus-Test-Private-beta-b,Test,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,88,0
24,10.2.92.0,c,beta,Private,,Nimbus-Test-Private-beta-c,Test,22,Teraform,Compliant,littleobi-vpc,Nimbus,10,2,92,0
